,smart_12_raw,smart_192_raw,smart_194_raw,smart_241_raw,smart_242_raw,0.5*smart_12_raw - 0.99*smart_242_raw,-1.04*smart_192_raw + 0.67*smart_241_raw,target
80,13,7.0,41.0,10291,2275.0,-2245.75,6887.6900000000005,0
81,13,7.0,41.0,10388,2349.0,-2319.0099999999998,6952.68,0
82,13,7.0,43.0,10585,2502.0,-2470.48,7084.670000000001,0
83,13,7.0,45.0,10689,2566.0,-2533.84,7154.35,0
84,13,7.0,43.0,10791,2682.0,-2648.68,7222.6900000000005,0
85,13,7.0,44.0,10857,2753.0,-2718.97,7266.910000000001,0
86,13,7.0,43.0,11044,2923.0,-2887.27,7392.200000000001,0
87,13,7.0,43.0,11083,2986.0,-2949.64,7418.330000000001,0
88,13,7.0,45.0,11232,3127.0,-3089.23,7518.160000000001,0
89,13,7.0,43.0,11336,3216.0,-3177.34,7587.840000000001,0
90,13,7.0,42.0,11415,3342.0,-3302.08,7640.77,0
91,13,7.0,45.0,11499,3415.0,-3374.35,7697.050000000001,0
92,13,7.0,45.0,11668,3561.0,-3518.89,7810.280000000001,0
93,13,7.0,44.0,11705,3624.0,-3581.2599999999998,7835.070000000001,0
94,13,7.0,45.0,11894,3794.0,-3749.56,7961.700000000001,0
95,13,7.0,45.0,11958,3865.0,-3819.85,8004.580000000001,0
96,13,7.0,45.0,12036,3990.0,-3943.6,8056.840000000001,0
97,13,7.0,44.0,12075,4047.0,-4000.0299999999997,8082.970000000001,0
98,13,7.0,42.0,12156,4162.0,-4113.88,8137.240000000001,0
99,13,7.0,45.0,12251,4246.0,-4197.04,8200.89,0
100,13,7.0,42.0,12417,4395.0,-4344.55,8312.11,0
101,13,7.0,43.0,12492,4519.0,-4467.31,8362.36,0
102,13,7.0,42.0,12528,4577.0,-4524.73,8386.48,0
103,13,7.0,42.0,12678,4720.0,-4666.3,8486.98,0
104,13,7.0,41.0,12714,4774.0,-4719.76,8511.1,0
105,13,7.0,43.0,12786,4891.0,-4835.59,8559.34,0
106,13,7.0,41.0,12823,4947.0,-4891.03,8584.13,0
107,13,7.0,42.0,12933,5076.0,-5018.74,8657.83,0
108,13,7.0,44.0,12999,5146.0,-5088.04,8702.05,0
109,13,7.0,42.0,13069,5261.0,-5201.89,8748.95,0
110,13,7.0,42.0,13104,5317.0,-5257.33,8772.4,0
111,13,7.0,43.0,13167,5415.0,-5354.35,8814.61,0
112,13,7.0,42.0,13219,5471.0,-5409.79,8849.45,0
113,13,7.0,43.0,13408,5594.0,-5531.56,8976.08,0
114,13,7.0,42.0,13441,5647.0,-5584.03,8998.19,0
115,13,7.0,43.0,13505,5754.0,-5689.96,9041.07,0
116,13,7.0,42.0,13537,5801.0,-5736.49,9062.51,0
117,13,7.0,43.0,13629,5904.0,-5838.46,9124.15,0
118,13,7.0,42.0,13662,5952.0,-5885.98,9146.26,0
119,13,7.0,43.0,13727,6047.0,-5980.03,9189.81,0
120,13,7.0,45.0,13760,6096.0,-6028.54,9211.92,0
121,13,7.0,44.0,13912,6200.0,-6131.5,9313.76,0
122,13,7.0,42.0,13973,6253.0,-6183.97,9354.63,0
123,13,7.0,43.0,14037,6354.0,-6283.96,9397.51,0
124,13,7.0,42.0,14068,6403.0,-6332.47,9418.28,0
125,13,7.0,43.0,14134,6495.0,-6423.55,9462.5,0
126,13,7.0,42.0,14164,6541.0,-6469.09,9482.6,0
127,13,7.0,42.0,14324,6655.0,-6581.95,9589.8,0
128,13,7.0,42.0,14406,6713.0,-6639.37,9644.74,0
129,13,7.0,43.0,14466,6809.0,-6734.41,9684.94,0
130,13,7.0,42.0,14496,6857.0,-6781.93,9705.039999999999,0
131,13,7.0,43.0,14558,6952.0,-6875.98,9746.58,0
132,13,7.0,41.0,14592,7004.0,-6927.46,9769.36,0
133,13,7.0,45.0,14654,7100.0,-7022.5,9810.9,0
134,13,7.0,45.0,14686,7151.0,-7072.99,9832.34,0
135,13,7.0,46.0,14887,7278.0,-7198.72,9967.01,0
136,13,7.0,46.0,14961,7385.0,-7304.65,10016.59,0
137,13,7.0,46.0,14990,7432.0,-7351.18,10036.02,0
138,13,7.0,49.0,15052,7519.0,-7437.3099999999995,10077.56,0
139,13,7.0,47.0,15080,7565.0,-7482.85,10096.32,0
140,13,7.0,47.0,15140,7655.0,-7571.95,10136.52,0
141,13,7.0,48.0,15168,7703.0,-7619.47,10155.28,0
142,13,7.0,47.0,15318,7818.0,-7733.32,10255.78,0
143,13,7.0,46.0,15410,7876.0,-7790.74,10317.42,0
144,13,7.0,47.0,15468,7974.0,-7887.76,10356.28,0
145,13,7.0,47.0,15496,8014.0,-7927.36,10375.04,0
146,13,7.0,47.0,15559,8101.0,-8013.49,10417.25,0
147,13,7.0,47.0,15589,8144.0,-8056.0599999999995,10437.35,0
148,13,7.0,47.0,15648,8248.0,-8159.0199999999995,10476.88,0
149,13,7.0,46.0,15678,8297.0,-8207.53,10496.98,0
150,13,7.0,47.0,15856,8410.0,-8319.4,10616.24,0
151,13,7.0,47.0,15921,8461.0,-8369.89,10659.79,0
152,13,7.0,47.0,15982,8553.0,-8460.97,10700.66,0
153,13,7.0,47.0,16009,8591.0,-8498.59,10718.75,0
154,13,7.0,46.0,16065,8668.0,-8574.82,10756.27,0
155,13,7.0,47.0,16091,8708.0,-8614.42,10773.69,0
156,13,7.0,46.0,16145,8792.0,-8697.58,10809.87,0
157,13,7.0,44.0,16226,8845.0,-8750.05,10864.14,0
158,13,7.0,47.0,16384,8942.0,-8846.08,10970.0,0
159,13,7.0,48.0,16409,8982.0,-8885.68,10986.75,0
160,13,7.0,47.0,16459,9058.0,-8960.92,11020.25,0
161,13,7.0,47.0,16485,9096.0,-8998.539999999999,11037.67,0
162,14,7.0,48.0,16553,9178.0,-9079.22,11083.23,0
163,14,7.0,45.0,16581,9220.0,-9120.8,11101.99,0
164,14,7.0,46.0,16638,9312.0,-9211.88,11140.18,0
165,14,7.0,47.0,16665,9353.0,-9252.47,11158.27,0
166,14,7.0,47.0,16693,9399.0,-9298.01,11177.03,0
167,14,7.0,47.0,16753,9477.0,-9375.23,11217.23,0
168,14,7.0,47.0,16805,9548.0,-9445.52,11252.07,0
169,14,7.0,47.0,16853,9592.0,-9489.08,11284.23,0
170,14,7.0,48.0,17044,9687.0,-9583.13,11412.2,0
171,14,7.0,47.0,17069,9725.0,-9620.75,11428.95,0
172,14,7.0,47.0,17121,9800.0,-9695.0,11463.79,0
173,14,7.0,47.0,17147,9840.0,-9734.6,11481.21,0
174,14,7.0,47.0,17200,9917.0,-9810.83,11516.72,0
175,14,7.0,47.0,17226,9956.0,-9849.44,11534.14,0
176,14,7.0,47.0,17279,10039.0,-9931.61,11569.65,0
177,14,7.0,47.0,17304,10076.0,-9968.24,11586.4,0
178,14,7.0,46.0,17355,10153.0,-10044.47,11620.57,0
179,14,7.0,48.0,17381,10193.0,-10084.07,11637.99,0
180,14,7.0,47.0,17436,10276.0,-10166.24,11674.84,0
181,14,7.0,47.0,17470,10322.0,-10211.78,11697.62,0
182,14,7.0,47.0,17597,10406.0,-10294.94,11782.710000000001,0
183,14,7.0,45.0,17700,10466.0,-10354.34,11851.72,0
184,14,7.0,47.0,17772,10550.0,-10437.5,11899.960000000001,0
185,14,7.0,47.0,17796,10588.0,-10475.12,11916.04,0
186,14,7.0,45.0,17847,10670.0,-10556.3,11950.210000000001,0
187,14,7.0,46.0,17871,10705.0,-10590.95,11966.29,0
188,14,7.0,46.0,17926,10778.0,-10663.22,12003.14,0
189,14,7.0,46.0,17951,10809.0,-10693.91,12019.89,0
190,14,7.0,44.0,18002,10876.0,-10760.24,12054.06,0
191,14,7.0,45.0,18026,10909.0,-10792.91,12070.14,0
192,14,7.0,45.0,18072,10974.0,-10857.26,12100.960000000001,0
193,14,7.0,45.0,18095,11008.0,-10890.92,12116.37,0
194,14,7.0,44.0,18143,11068.0,-10950.32,12148.53,0
195,14,7.0,44.0,18175,11105.0,-10986.95,12169.97,0
196,14,7.0,45.0,18277,11182.0,-11063.18,12238.31,0
197,14,7.0,46.0,18376,11230.0,-11110.7,12304.64,0
198,14,7.0,45.0,18479,11310.0,-11189.9,12373.65,0
